Timestamp,SCT Version,Filename,Slice (I->S),VertLevel,DistancePMJ,Label,Size [vox],WA(),STD()
"2023-12-13 13:48:58","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-beijingVerio03/dwi/dti_FA.nii.gz","0:14","2:5","","white matter",610.0714824929707,0.740109610897878,0.11433596968094308
"2023-12-13 13:53:19","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-beijingVerio04/dwi/dti_FA.nii.gz","0:14","2:5","","white matter",687.3516144816299,0.7325155117413031,0.13600933944920737
"2023-12-13 13:53:35","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-beijingVerio02/dwi/dti_FA.nii.gz","1:13","2:5","","white matter",532.3710482798705,0.6819040010199671,0.16210475109153238
"2023-12-13 13:55:29","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-beijingPrisma04/dwi/dti_FA.nii.gz","3:14","2:5","","white matter",704.2467395535361,0.6400665028925523,0.14368156110352248
"2023-12-13 13:56:27","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-beijingVerio01/dwi/dti_FA.nii.gz","1:11","2:5","","white matter",479.0832749332705,0.6308767667629408,0.12796902850516148
"2023-12-13 13:56:40","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-balgrist04/dwi/dti_FA.nii.gz","0:14","2:5","","white matter",958.9533301735466,0.7082855805501395,0.1602309615488801
"2023-12-13 13:57:11","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-balgrist03/dwi/dti_FA.nii.gz","1:12","2:5","","white matter",650.1089948758856,0.732025998353623,0.14250855806171467
"2023-12-13 13:57:24","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-balgrist05/dwi/dti_FA.nii.gz","0:12","2:5","","white matter",854.0581338490186,0.7079975400087474,0.15266171198271736
"2023-12-13 13:57:33","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-balgrist02/dwi/dti_FA.nii.gz","0:9","2:5","","white matter",566.1743747424217,0.7031833013357532,0.17631021159926863
"2023-12-13 13:57:56","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-balgrist06/dwi/dti_FA.nii.gz","1:13","2:5","","white matter",836.9254858623331,0.6958732332815892,0.15631364513176782
"2023-12-13 13:58:40","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-barcelona01/dwi/dti_FA.nii.gz","0:11","2:5","","white matter",761.0132067417126,0.728140504973057,0.14460080868539754
