Timestamp,SCT Version,Filename,Slice (I->S),VertLevel,DistancePMJ,Label,Size [vox],WA(),STD()
"2023-12-13 13:49:20","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-beijingVerio03/dwi/dti_MD.nii.gz","0:14","2:5","","dorsal columns",237.56589202084126,0.0009853109025467594,0.0002149193646509971
"2023-12-13 13:53:39","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-beijingVerio04/dwi/dti_MD.nii.gz","0:14","2:5","","dorsal columns",253.66900708654538,0.0009653775317633733,0.00027590830075600826
"2023-12-13 13:54:02","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-beijingVerio02/dwi/dti_MD.nii.gz","1:13","2:5","","dorsal columns",213.70653186040636,0.0009770502937519873,0.0002498159689811725
"2023-12-13 13:55:54","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-beijingPrisma04/dwi/dti_MD.nii.gz","3:14","2:5","","dorsal columns",258.9147371972515,0.0010724042908869342,0.00023810528957855334
"2023-12-13 13:56:48","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-beijingVerio01/dwi/dti_MD.nii.gz","1:11","2:5","","dorsal columns",147.6765195255776,0.0011935259169402657,0.0003633899854846639
"2023-12-13 13:56:58","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-balgrist04/dwi/dti_MD.nii.gz","0:14","2:5","","dorsal columns",361.4279941659736,0.0009674234979089676,0.0002761025073564263
"2023-12-13 13:57:26","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-balgrist03/dwi/dti_MD.nii.gz","1:12","2:5","","dorsal columns",198.72234081403798,0.0010129401500329504,0.00030159452795953153
"2023-12-13 13:57:41","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-balgrist05/dwi/dti_MD.nii.gz","0:12","2:5","","dorsal columns",244.73090869421478,0.0010126945458429335,0.00023508379515437466
"2023-12-13 13:57:53","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-balgrist02/dwi/dti_MD.nii.gz","0:9","2:5","","dorsal columns",177.30377059261633,0.0009069170348330107,0.0001943039713862627
"2023-12-13 13:58:15","git-master-c7a8072fd63a06a2775a74029c042833f0fce510","/home/porto-raid4/nestrasil-data/spine-generic/results/data-multi-subject_20231213/data_processed/sub-balgrist06/dwi/dti_MD.nii.gz","1:13","2:5","","dorsal columns",239.63945424079043,0.001041265539932286,0.00031712674048768775
