SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-amu01,5697,3820,9303,2.185,0.617,0.117,0.026,55,6.2
sub-amu02,6020,4043,9024,2.079,0.606,0.118,0.026,58,6.5
sub-amu03,4322,2988,6669,1.986,0.628,0.124,0.028,44,5.3
sub-amu04,5534,3761,8936,2.120,0.606,0.122,0.026,58,5.8
sub-amu05,5976,3935,8913,2.046,0.575,0.130,0.030,66,7.3
sub-balgrist01,6296,4114,9976,2.182,0.587,0.110,0.021,52,5.4
sub-balgrist02,7019,4487,10283,2.040,0.605,0.107,0.021,62,6.3
sub-balgrist03,6392,4119,9295,2.055,0.638,0.110,0.022,57,6.1
sub-balgrist05,7377,4743,11462,2.144,0.607,0.106,0.020,62,6.2
sub-balgrist06,6679,4365,10620,2.168,0.659,0.108,0.021,62,5.8
sub-beijingVerio03,6410,4394,9335,1.900,0.575,0.124,0.029,80,7.7
sub-brnoCeitec01,7186,4353,10191,2.119,0.566,0.096,0.018,54,5.6
sub-brnoCeitec02,5684,3639,8184,2.044,0.638,0.106,0.022,48,5.3
sub-brnoCeitec03,6122,3972,10149,2.275,0.656,0.109,0.022,57,5.5
sub-brnoCeitec04,7287,4673,10898,2.125,0.613,0.105,0.018,55,5.7
sub-brnoCeitec05,6648,4217,8864,1.926,0.560,0.104,0.019,48,5.5
sub-brnoCeitec06,6527,3992,9207,2.104,0.598,0.104,0.024,62,6.0
sub-brnoUhb01,7056,4491,9849,1.987,0.597,0.114,0.028,63,8.1
sub-brnoUhb02,6084,3876,9759,2.233,0.696,0.109,0.027,51,6.6
sub-brnoUhb03,5571,3451,6344,1.734,0.538,0.105,0.022,46,5.1
sub-brnoUhb04,6073,3904,6572,1.679,0.553,0.111,0.024,44,6.4
sub-brnoUhb05,6575,4049,7723,1.803,0.550,0.106,0.025,49,6.9
sub-brnoUhb06,5723,3597,7785,1.963,0.588,0.098,0.021,36,4.9
sub-brnoUhb07,5029,3098,6584,1.930,0.567,0.100,0.022,36,4.5
sub-cardiff04,7272,4655,10644,2.094,0.616,0.109,0.022,62,6.8
sub-cmrra01,8143,5312,14072,2.330,0.650,0.104,0.020,73,6.7
sub-cmrra03,6204,4044,10157,2.263,0.715,0.107,0.020,51,5.1
sub-cmrra04,5806,3818,9672,2.274,0.727,0.112,0.023,53,5.4
sub-cmrra06,7097,4583,10135,2.022,0.561,0.108,0.019,62,5.7
sub-cmrrb01,5116,3537,9880,2.421,0.527,0.122,0.026,63,5.3
sub-cmrrb05,6812,4551,10386,2.026,0.606,0.111,0.020,62,6.0
sub-cmrrb06,5786,3764,8987,2.132,0.602,0.106,0.021,45,4.9
sub-dresden01,5539,3626,8582,2.102,0.640,0.112,0.022,52,5.4
sub-dresden02,5991,3879,8785,2.060,0.671,0.110,0.026,64,6.1
sub-fslAchieva01,5970,3942,9298,2.145,0.581,0.115,0.024,57,6.0
sub-fslPrisma04,6691,4163,9965,2.164,0.581,0.100,0.020,50,5.2
sub-fslPrisma05,5751,3801,10148,2.353,0.619,0.109,0.021,51,4.9
sub-geneva01,6378,4210,9152,1.996,0.586,0.110,0.022,60,5.8
sub-geneva02,6268,4045,9807,2.185,0.615,0.108,0.022,54,5.6
sub-geneva03,6709,4285,9687,2.044,0.583,0.095,0.017,49,4.9
sub-geneva04,6469,4126,10340,2.222,0.657,0.106,0.020,52,5.5
sub-geneva05,7307,4677,10160,1.971,0.587,0.110,0.021,65,6.5
sub-geneva06,6800,4238,10222,2.163,0.662,0.100,0.019,51,5.2
sub-juntendo750w01,6305,4032,9458,2.122,0.694,0.118,0.031,57,7.4
sub-juntendo750w02,6377,4070,8752,1.961,0.679,0.109,0.027,50,7.0
sub-juntendo750w03,8166,5191,11580,2.038,0.634,0.112,0.028,67,9.0
sub-juntendo750w04,6886,4246,9087,1.992,0.637,0.107,0.026,57,7.1
sub-juntendo750w05,6436,4130,9186,2.012,0.633,0.120,0.032,61,8.3
sub-juntendo750w06,6132,3925,8271,1.908,0.637,0.109,0.026,52,6.5
sub-mgh01,5578,3717,8599,2.081,0.656,0.117,0.024,54,5.5
sub-mgh02,5971,3883,8233,1.933,0.483,0.105,0.019,53,5.0
sub-mgh03,4581,2949,6457,1.999,0.566,0.106,0.021,35,4.2
sub-mniS04,6293,3900,9170,2.135,0.581,0.099,0.020,50,5.4
sub-mniS07,6427,4242,10633,2.259,0.591,0.108,0.021,53,5.6
sub-mniS09,6063,3757,8539,2.039,0.533,0.095,0.018,46,4.5
sub-mpicbs01,5097,3210,6944,1.995,0.651,0.102,0.022,45,4.2
sub-nottwil01,5730,3766,8898,2.110,0.669,0.114,0.022,53,5.1
sub-nottwil02,6783,4523,11966,2.342,0.615,0.113,0.023,66,6.7
sub-nottwil03,5877,4011,9477,2.150,0.558,0.123,0.027,73,6.4
sub-nottwil04,5826,3855,9750,2.202,0.650,0.110,0.022,52,5.4
sub-nottwil05,6101,4110,9323,2.076,0.631,0.112,0.022,59,5.6
sub-nottwil06,7232,4840,11621,2.137,0.654,0.118,0.023,67,7.0
sub-nwu02,5870,3615,8277,2.033,0.610,0.099,0.021,50,4.9
sub-nwu03,5453,3786,11476,2.627,0.583,0.117,0.022,56,5.0
sub-nwu04,8304,5669,13642,2.205,0.614,0.116,0.023,79,7.7
sub-nwu05,6886,4478,10391,2.138,0.640,0.111,0.023,62,6.7
sub-nwu06,5480,3489,7172,1.907,0.557,0.111,0.025,46,5.8
sub-oxfordFmrib02,8164,5336,12372,2.085,0.565,0.113,0.022,80,7.4
sub-oxfordFmrib03,6364,4060,9429,2.078,0.619,0.098,0.018,49,4.8
sub-oxfordFmrib04,6438,4258,10842,2.282,0.646,0.107,0.021,57,5.8
sub-oxfordFmrib05,6799,4267,8916,1.950,0.556,0.107,0.021,56,6.0
sub-oxfordFmrib06,5965,3864,8457,1.985,0.591,0.104,0.019,49,4.8
sub-oxfordFmrib07,6169,4000,9840,2.201,0.555,0.107,0.021,55,5.3
sub-oxfordFmrib08,6339,4078,10507,2.275,0.655,0.106,0.019,53,5.0
sub-oxfordFmrib09,8095,5155,12158,2.139,0.556,0.109,0.021,70,6.8
sub-oxfordFmrib10,6822,4400,10969,2.206,0.600,0.107,0.020,60,5.8
