SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-amu01,6910,4440,12404,2.590,0.496,0.111,0.024,57,6.8
sub-amu02,6580,4347,12128,2.568,0.514,0.117,0.028,61,7.1
sub-amu03,6053,3979,10453,2.411,0.534,0.115,0.025,50,6.2
sub-amu04,6381,4203,11237,2.508,0.526,0.118,0.026,57,6.9
sub-amu05,6124,3878,10278,2.530,0.519,0.124,0.032,59,8.1
sub-balgrist01,7114,4512,12491,2.573,0.557,0.103,0.020,51,6.1
sub-balgrist02,7574,4887,14369,2.695,0.576,0.109,0.021,60,6.9
sub-balgrist03,7065,4419,12516,2.576,0.609,0.109,0.023,58,6.8
sub-balgrist05,8903,5562,16579,2.721,0.530,0.099,0.019,62,6.9
sub-balgrist06,7194,4641,13842,2.716,0.541,0.110,0.020,57,6.1
sub-beijingVerio02,9079,5816,16308,2.605,0.474,0.110,0.030,76,10.1
sub-beijingVerio03,8251,5566,14899,2.446,0.481,0.124,0.029,87,9.9
sub-beijingVerio04,7574,5076,13783,2.449,0.582,0.119,0.033,68,9.7
sub-brnoCeitec01,8486,5091,15978,2.845,0.584,0.091,0.016,51,5.9
sub-brnoCeitec02,7327,4508,13265,2.691,0.665,0.099,0.022,57,6.3
sub-brnoCeitec03,7429,4721,14913,2.795,0.640,0.105,0.022,60,6.5
sub-brnoCeitec04,8394,4971,14870,2.761,0.680,0.093,0.017,53,5.9
sub-brnoCeitec05,8426,5204,13822,2.499,0.613,0.106,0.022,65,7.5
sub-brnoCeitec06,7217,4555,13262,2.644,0.506,0.106,0.024,59,6.8
sub-brnoUhb01,8285,5368,13386,2.310,0.527,0.109,0.026,61,8.6
sub-brnoUhb02,7232,4581,12700,2.547,0.599,0.104,0.026,46,7.3
sub-brnoUhb03,6352,3834,9607,2.329,0.568,0.104,0.025,43,6.5
sub-brnoUhb04,7452,4678,9607,2.066,0.672,0.110,0.028,53,8.5
sub-brnoUhb05,8289,5110,13277,2.441,0.645,0.105,0.027,56,9.0
sub-brnoUhb06,7622,4799,12381,2.434,0.659,0.110,0.028,55,8.6
sub-brnoUhb07,6151,3886,9813,2.369,0.572,0.112,0.026,46,6.8
sub-brnoUhb08,7485,5075,12106,2.272,0.620,0.129,0.038,68,11.9
sub-cardiff01,9080,5602,17243,2.816,0.594,0.095,0.019,54,7.1
sub-cardiff02,8106,5099,14817,2.680,0.643,0.108,0.023,58,7.9
sub-cardiff03,7869,4858,13992,2.609,0.571,0.099,0.018,60,5.6
