SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-amu01,6267,4229,9512,2.042,0.588,0.111,0.024,65,6.4
sub-amu02,7237,4715,10088,2.008,0.541,0.117,0.026,76,7.6
sub-amu03,4852,3138,7169,2.046,0.620,0.109,0.023,39,4.5
sub-amu04,5603,3521,7781,1.985,0.641,0.106,0.022,48,5.0
sub-amu05,5426,3458,7464,1.988,0.600,0.113,0.028,46,5.7
sub-balgrist01,5679,3641,8592,2.135,0.586,0.097,0.017,39,4.1
sub-balgrist02,4658,3178,7884,2.350,0.423,0.126,0.023,56,4.7
sub-balgrist03,6142,3957,9362,2.079,0.584,0.105,0.019,57,4.9
sub-balgrist05,6813,4493,11180,2.184,0.642,0.109,0.022,60,6.3
sub-balgrist06,5633,3628,9237,2.206,0.617,0.103,0.017,46,4.1
sub-beijingVerio02,8383,5183,10888,1.939,0.496,0.096,0.022,64,6.7
sub-beijingVerio03,6355,4177,8591,1.861,0.561,0.114,0.024,71,6.4
sub-beijingVerio04,6578,4384,9553,1.979,0.546,0.116,0.028,62,7.1
sub-brnoCeitec01,6115,3875,8864,2.048,0.566,0.094,0.017,46,4.3
sub-brnoCeitec02,5662,3674,8170,1.967,0.608,0.104,0.020,48,4.9
sub-brnoCeitec03,5498,3580,9001,2.221,0.668,0.103,0.019,47,4.2
sub-brnoCeitec04,6773,4359,10598,2.173,0.651,0.102,0.017,52,4.8
sub-brnoCeitec05,5690,3575,7221,1.907,0.553,0.106,0.021,43,5.0
sub-brnoCeitec06,6163,3980,9185,2.075,0.589,0.107,0.021,61,5.4
sub-brnoUhb01,6957,4478,9437,1.918,0.546,0.107,0.024,52,6.9
sub-brnoUhb02,5949,3891,8882,2.042,0.611,0.111,0.029,50,7.0
sub-brnoUhb03,5404,3359,6435,1.827,0.556,0.103,0.023,42,5.0
sub-brnoUhb04,5383,3420,5827,1.679,0.566,0.103,0.024,34,5.4
sub-brnoUhb05,6080,3778,7881,1.943,0.694,0.100,0.024,41,5.9
sub-brnoUhb06,5410,3325,7444,2.015,0.681,0.098,0.023,38,4.5
sub-brnoUhb07,5192,3159,7410,2.122,0.627,0.098,0.023,36,4.7
sub-brnoUhb08,6317,4234,8064,1.836,0.547,0.124,0.036,61,9.3
sub-cardiff01,7638,4875,11470,2.161,0.569,0.107,0.023,67,7.3
sub-cardiff02,6657,4368,11471,2.339,0.599,0.110,0.021,52,5.8
sub-cardiff03,4771,3346,9184,2.383,0.566,0.116,0.021,51,4.3
sub-cardiff04,6851,4469,10529,2.134,0.592,0.113,0.023,64,6.5
sub-cardiff05,6004,3909,10260,2.338,0.666,0.097,0.018,42,4.5
sub-cardiff06,7351,4666,11119,2.143,0.552,0.098,0.018,61,5.3
sub-cmrra01,7378,4986,13278,2.349,0.612,0.112,0.022,76,6.8
sub-cmrra02,6436,3934,9568,2.169,0.555,0.097,0.018,51,4.7
sub-cmrra03,5933,3833,9444,2.211,0.701,0.097,0.018,40,4.5
sub-cmrra04,5433,3592,9049,2.201,0.709,0.108,0.019,48,4.3
sub-cmrra05,7963,5140,11654,2.071,0.584,0.107,0.021,70,6.9
sub-cmrra06,6505,4218,9307,1.991,0.616,0.109,0.020,64,5.3
sub-cmrrb01,5582,3874,11162,2.434,0.542,0.120,0.022,65,5.3
sub-cmrrb02,5645,3799,8788,2.054,0.587,0.114,0.024,63,5.4
sub-cmrrb03,7510,4955,12805,2.308,0.634,0.108,0.020,65,6.4
sub-cmrrb04,5394,3570,9225,2.410,0.634,0.110,0.025,43,5.4
sub-cmrrb05,6751,4405,10126,2.026,0.594,0.101,0.019,53,5.3
sub-cmrrb06,5756,3599,7715,1.950,0.546,0.093,0.017,41,4.0
sub-cmrrb07,4950,3419,9829,2.542,0.490,0.117,0.021,55,4.5
