SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-amu01,6117,4080,11078,2.548,0.531,0.104,0.021,42,5.4
sub-amu02,7080,4583,12647,2.561,0.496,0.114,0.026,63,7.6
sub-amu03,6353,4043,10446,2.436,0.631,0.116,0.026,52,7.0
sub-amu04,6871,4415,11720,2.501,0.587,0.120,0.030,61,9.0
sub-amu05,6038,3926,9692,2.369,0.589,0.128,0.034,64,8.2
sub-balgrist01,7166,4564,12320,2.490,0.564,0.101,0.019,49,5.8
sub-balgrist02,6793,4458,9826,2.054,0.531,0.112,0.022,59,6.2
sub-balgrist03,7099,4470,12859,2.624,0.552,0.106,0.021,55,6.2
sub-balgrist05,7622,4864,14021,2.613,0.542,0.095,0.018,55,5.8
sub-balgrist06,6676,4376,12598,2.637,0.559,0.103,0.017,51,5.0
sub-beijingVerio02,9539,5913,16159,2.588,0.536,0.104,0.026,76,10.0
sub-beijingVerio03,8236,5335,14765,2.543,0.540,0.114,0.024,72,8.2
sub-beijingVerio04,8633,5709,14840,2.398,0.517,0.118,0.032,78,10.9
sub-brnoCeitec01,8185,5079,15388,2.699,0.547,0.094,0.016,54,5.5
sub-brnoCeitec02,7305,4550,13784,2.738,0.685,0.104,0.021,61,6.3
sub-brnoCeitec03,6833,4409,12960,2.644,0.639,0.099,0.018,48,5.3
sub-brnoCeitec04,7998,4955,14276,2.618,0.608,0.095,0.016,49,5.5
sub-brnoCeitec05,7416,4646,11732,2.400,0.634,0.108,0.023,51,7.2
sub-brnoCeitec06,7247,4760,13639,2.592,0.557,0.111,0.023,69,7.1
sub-brnoUhb01,8519,5518,13819,2.371,0.574,0.113,0.028,64,10.0
sub-brnoUhb02,7547,4816,12550,2.400,0.577,0.109,0.028,52,8.5
sub-brnoUhb03,6758,4185,10339,2.328,0.556,0.104,0.023,46,6.4
sub-brnoUhb04,7956,5132,10535,2.069,0.575,0.120,0.033,63,11.3
sub-brnoUhb05,8033,5010,12321,2.317,0.625,0.112,0.028,59,9.3
sub-brnoUhb06,7776,4955,12882,2.451,0.652,0.117,0.031,61,10.3
sub-brnoUhb07,6049,3903,9770,2.358,0.531,0.112,0.025,49,6.1
sub-brnoUhb08,6500,4480,10568,2.236,0.585,0.135,0.041,65,10.8
sub-cardiff01,9227,5746,17146,2.743,0.588,0.101,0.020,65,7.6
sub-cardiff02,7458,4697,13694,2.669,0.610,0.107,0.022,56,6.7
sub-cardiff03,8195,5397,12585,2.192,0.647,0.108,0.019,65,6.7
sub-cardiff04,7945,5051,13640,2.522,0.623,0.110,0.025,61,8.6
sub-cardiff05,7502,4849,14419,2.770,0.551,0.097,0.017,47,5.5
sub-cardiff06,8116,5055,14440,2.624,0.559,0.101,0.022,76,7.6
sub-cmrra01,8517,5613,17255,2.740,0.589,0.101,0.017,59,6.1
sub-cmrra02,7752,4670,14080,2.744,0.629,0.094,0.019,57,6.3
sub-cmrra03,7510,4793,15016,2.751,0.611,0.099,0.017,52,5.3
sub-cmrra04,5850,3893,11850,2.754,0.608,0.103,0.019,40,4.7
sub-cmrra05,7208,4823,13680,2.563,0.666,0.115,0.024,58,7.3
sub-cmrra06,7886,5197,13988,2.523,0.549,0.105,0.018,63,6.1
sub-cmrrb01,7487,4892,11098,2.128,0.567,0.111,0.021,64,6.6
sub-cmrrb02,7109,4676,13686,2.629,0.520,0.107,0.021,59,6.2
sub-cmrrb03,8694,5649,17171,2.736,0.597,0.098,0.017,57,6.1
sub-cmrrb04,10877,6933,15712,2.153,0.638,0.108,0.023,85,10.3
sub-cmrrb05,7493,4739,12947,2.483,0.616,0.101,0.020,53,6.2
sub-cmrrb06,7253,4576,11641,2.353,0.545,0.104,0.020,51,6.4
